Content	Label
"RT @Alyahyamo7ammad: #تضامن_مع_ترف_العسيري
 أختي المسلمة :
 حجابك، حشمتك، حيائك هي هويتك الحقيقية التي كرمك بها دينك العظيم، حافظي عليها فهي م""-BHB 'DE1#)"" وبكائيات من تسم""'DF'47'* H'D-BHBJ'*"""	0
@Ania27El نحن في زمن كثر فيه دعاة الحرية وحقوقها المرأة الهدف من ذالك نزع حجابها وعفتها يريدون منها ان تمشي في الطرقات وهي شبه عارية بدعوة الحر	0
-BHB 'DE1#) 'AC'1 HGEJG	0
"RT @semo55771076: @___IHAVENOIDEA لا تقول حقوق المراه باالاسلام !!قولي ذي عادات اهلك انو ما يعطونك الحريه ،لاكن الاسلام دين يسر وليسى عسر،هناك امراة من امريكا ت"	0
@Badro_0 مشكلتنا في من يعتقد ان مخالفت التعاليم الأسلامية ولأختلاط هو بحد عينه التطور والعدالة ولايعلم انه في ذالك الرائ والمطالبة فيه ينقص من �	0
"RT @MFahadAF: @SummerMohd @jaafarAbdulKari حقوقها في السفور واظهار زينتها لغير محرمها او بالاصح زوجها؟ هل مخالفة امر الله حق من حقوق المرأه؟
 ثانياً اسلوبها باين فيه العداو"	0
"RT @ranamohamedx: الاسلام كله احترام للمرأة و دين يتكلم عن حقوق واهمية المرأة و كيف كانت تساعد و تساهم في الحروب و الله أكرم المرأة في سور"	0
"RT @Abo__Saood1: @spagov كذبتم لم نشاهد حقوق المرأه من سكن ووظيفه ورفع شأنها من الفقر لم نشاهد سواء رضوخكم للغرب وتفعيل خطتهم المستدامه 2030 من
 
 قيادتها للسياره علشان إرضاء ترامب
 زجها في الملاعب م"	0
"@___IHAVENOIDEA عفواً مين ندبك تقيمي حقوق المرأة؟ ومين المسلمة يلي شكتلك من ظلم الإسلام وإجحافه ؟ كإنه لازم ترجعي تقرأي بالتاريخ شوي وتتأكدي المرأ�"	0
RT @AlkaabiWa: لاتوجد معاناه بس سوالف ودراما قدر الله وحصل الطلاق ماهي اخر الدنيا اولا بيت اهلها موجود ولا بهم عاجزين عن بنتهم وحقو	0
"H'D-JH'F 9F/G -BHB ('H1(' 'C+1 EF 'D'F3'F  'BD 4J 'F '0' 4'AH ,D( HD' B7HG ('D4'19 H/HHG ED,# A (DJ2 (F'* A*-H 9BHDCE H'-E/H 1JCE 9DI F9E) 'D3*1 HF9E) 'D'3D'E H*1' ('BJ 'D/J'F'* J3*-B1HF 'DE1#G A 'DJ **0E1 9DI 'FG E'DG' -BHB .*1H- *B1' JECF *3*H9( 'FG' (F9EG"	0
"@dr_naseer أنا والله ما أدري انت من أي زبالة عربية لكن لو مشينا بمنطقك فياملعون انت شو اخترعت وشو طورت؟ وين فكرك ووين علمك؟ ماسمعنا من قبل عن اختر�"	0
/H1J 'D'(7'D 'GE EF -BHB 'DE1')	0
@miss_liiin @sudaniHalayeb المشكلة دايما بتاعين حقوق المراة بايرات ويشبهن 👇شكلهن مافي حد اتحرش بيه�	0
'*0C1 H'-/ 2EJD E*/JF H'5D'-J EF 'DFH9 'DCJH* H'D4('(J CF' /'&E' F*F'B4 9F 'D9DE'FJ) H'DF3HJ) HBH'FJF -BHB 'DE1#) HC'F J9*16 (4/) HJBHD 'FG' 'AC'1 5GJHFJ) H*.1J(J) DD'3D'E H'DE3DE'* D/1,) 'FG CA1FJ E1'* C+J1) HC'F J*H9/ (BJ'E /HD) 41J9) '3D'EJ) 9',D' :J1 ",D	0
"J'2B) -BHBC A'D39H/J) E'DG' /.D AJ 'D'3D'E 'D'3D'E EH 'D39H/J) -*I DH EFG,F' 419 'DDG (3 *1' AJG *95('* :D7 H'4J'! EF3J) H'F' /'1J) 'FCE */1HF 9F G'D4J A''J 2B J(J J/9E -BHB 'DE1') (CJACE H(J3( AJ 3J'3) 'D39H/J) A'DE1') CJACE (3 "" الاسلام ارفع من اي شي لا �"""	0
@___IHAVENOIDEA وعلى فكرة احنا نمشي على السنة و نمشي على الي مذكور بالقران و القران معطيكم كامل حقوقكم مو مشكلة الاسلام اذا دولتج حارمتج من حقوقج و �	0
"@zienabhassan @maha_moh47 مافي حقوق مرأة أكتر مما أعطاها الإسلام 
 
 كل من ينادي بحقوق المرأة عايز يس�"	0
J''. -4J*HF'' -BHB 'DE1#) H:6 'D(51	0
@CareemUber حقوق المراه حقوق المراه ولا تقدر تشيل شنطتها وبالسوق شايله كل السوق ي عمي اكثر من مره	0
@Free88_ حقوق المرأة أنها تكو�	0
